date,Korea,Korea_s
15/04/2022,1078820,1078820
16/04/2022,930010,930010
17/04/2022,,477430
18/04/2022,1184450,1184450
19/04/2022,1112800,1112800
20/04/2022,908250,908250
21/04/2022,810100,810100
22/04/2022,754140,754140
23/04/2022,,647250
24/04/2022,,343700
25/04/2022,803010,803010
26/04/2022,767610,767610
27/04/2022,,0
28/04/2022,,1079900
29/04/2022,,432620
30/04/2022,,377710
01/05/2022,,200840
02/05/2022,510200,510200
03/05/2022,490380,490380
04/05/2022,422770,422770
05/05/2022,,267140
06/05/2022,395520,395520
07/05/2022,400640,400640
08/05/2022,,206010
09/05/2022,498960,498960
10/05/2022,438990,438990
11/05/2022,358830,358830
12/05/2022,324090,324090
13/05/2022,295410,295410
14/05/2022,254340,254340
15/05/2022,,132960
16/05/2022,350720,350720
17/05/2022,313150,313150
18/05/2022,281050,281050
19/05/2022,251080,251080
20/05/2022,234420,234420
21/05/2022,192980,192980
22/05/2022,,99750
23/05/2022,263130,263130
24/05/2022,239380,239380
25/05/2022,187970,187970
26/05/2022,165670,165670
27/05/2022,143820,143820
28/05/2022,126540,126540
29/05/2022,,61390
30/05/2022,171760,171760
31/05/2022,157770,157770
01/06/2022,98980,98980
02/06/2022,125220,125220
03/06/2022,120160,120160
04/06/2022,98350,98350
05/06/2022,,50220
06/06/2022,,61720
07/06/2022,133200,133200
08/06/2022,121460,121460
09/06/2022,93040,93040
10/06/2022,84280,84280
11/06/2022,73820,73820
12/06/2022,,38280
13/06/2022,97680,97680
14/06/2022,94230,94230
15/06/2022,79780,79780
16/06/2022,71860,71860
17/06/2022,68380,68380
18/06/2022,60710,60710
19/06/2022,,35380
20/06/2022,92830,92830
21/06/2022,89680,89680
22/06/2022,74420,74420
23/06/2022,72100,72100
24/06/2022,67800,67800
25/06/2022,62460,62460
26/06/2022,34290,34290
27/06/2022,98710,98710
28/06/2022,104370,104370
29/06/2022,95850,95850
30/06/2022,95160,95160
01/07/2022,106950,106950
02/07/2022,100590,100590
03/07/2022,62530,62530
04/07/2022,181330,181330
05/07/2022,193620,193620
06/07/2022,185030,185030
07/07/2022,193100,193100
08/07/2022,202630,202630
09/07/2022,204100,204100
10/07/2022,126930,126930
11/07/2022,373230,373230
12/07/2022,402480,402480
13/07/2022,391690,391690
14/07/2022,388640,388640
15/07/2022,412730,412730
16/07/2022,403420,403420
17/07/2022,262990,262990
18/07/2022,735370,735370
19/07/2022,763780,763780
20/07/2022,711090,711090
21/07/2022,685790,685790
22/07/2022,685210,685210
23/07/2022,654330,654330
24/07/2022,358830,358830
25/07/2022,992680,992680
26/07/2022,1001820,1001820
27/07/2022,882960,882960
28/07/2022,852750,852750
29/07/2022,819440,819440
30/07/2022,735890,735890
31/07/2022,446890,446890
01/08/2022,1117000,1117000
02/08/2022,1198660,1198660
03/08/2022,1078490,1078490
04/08/2022,1128570,1128570
05/08/2022,1106100,1106100
06/08/2022,1055070,1055070
07/08/2022,552920,552920
08/08/2022,1498190,1498190
09/08/2022,1517340,1517340
10/08/2022,1371960,1371960
11/08/2022,1286710,1286710
12/08/2022,1245150,1245150
13/08/2022,1196030,1196030
14/08/2022,620780,620780
15/08/2022,841280,841280
16/08/2022,1806520,1806520
17/08/2022,1784800,1784800
18/08/2022,1387410,1387410
19/08/2022,1293500,1293500
20/08/2022,1109440,1109440
21/08/2022,590460,590460
22/08/2022,1500980,1500980
23/08/2022,1391650,1391650
24/08/2022,1132810,1132810
25/08/2022,1010640,1010640
26/08/2022,955380,955380
27/08/2022,852950,852950
28/08/2022,431420,431420
29/08/2022,1155190,1155190
30/08/2022,1039190,1039190
31/08/2022,814990,814990
01/09/2022,895280,895280
02/09/2022,796230,796230
03/09/2022,721440,721440
04/09/2022,375480,375480
05/09/2022,997370,997370
06/09/2022,854840,854840
07/09/2022,725990,725990
08/09/2022,693890,693890
09/09/2022,427240,427240
10/09/2022,282140,282140
11/09/2022,369380,369380
12/09/2022,573090,573090
13/09/2022,0,0
14/09/2022,1653360,1653360
15/09/2022,518320,518320
16/09/2022,434000,434000
17/09/2022,347640,347640
18/09/2022,194070,194070
19/09/2022,478640,478640
20/09/2022,412310,412310
21/09/2022,329720,329720
22/09/2022,290810,290810
23/09/2022,293150,293150
24/09/2022,257920,257920
