date;Brazil;Brazil
05/03/2022;0.000295146;62748
06/03/2022;7.39652E-05;15725
07/03/2022;0.000100216;21306
08/03/2022;0.000350362;74487
09/03/2022;0.000215348;45783
10/03/2022;0.000287418;61105
11/03/2022;0.000254102;54022
12/03/2022;0.000224817;47796
13/03/2022;6.4953E-05;13809
14/03/2022;7.7667E-05;16512
15/03/2022;0.000233744;49694
16/03/2022;0.000224544;47738
17/03/2022;0.000207117;44033
18/03/2022;0.000244544;51990
19/03/2022;0.00018643;39635
20/03/2022;6.29304E-05;13379
21/03/2022;5.77046E-05;12268
22/03/2022;0.00019548;41559
23/03/2022;0.00021976;46721
24/03/2022;0.000175005;37206
25/03/2022;0.00016087;34201
26/03/2022;0.000137977;29334
27/03/2022;5.00329E-05;10637
28/03/2022;3.71637E-05;7901
29/03/2022;0.000138993;29550
30/03/2022;0.000157164;33413
31/03/2022;0.000146124;31066
01/04/2022;0.000126261;26843
02/04/2022;8.0254E-05;17062
03/04/2022;3.39135E-05;7210
04/04/2022;5.91345E-05;12572
05/04/2022;0.000126599;26915
06/04/2022;0.000126162;26822
07/04/2022;0.000123396;26234
08/04/2022;0.000142107;30212
09/04/2022;9.98542E-05;21229
10/04/2022;3.39135E-05;7210
11/04/2022;3.73001E-05;7930
12/04/2022;0.000105254;22377
13/04/2022;0.000125343;26648
14/04/2022;0.000108608;23090
15/04/2022;6.24553E-05;13278
16/04/2022;1.30527E-05;2775
17/04/2022;1.1952E-05;2541
18/04/2022;3.98401E-05;8470
19/04/2022;6.64675E-05;14131
20/04/2022;0.00017286;36750
21/04/2022;8.77705E-05;18660
22/04/2022;3.79492E-05;8068
23/04/2022;3.34478E-05;7111
24/04/2022;1.71919E-05;3655
